outer_fold,training_rows,validation_rows,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,true_negative,false_positive,false_negative,true_positive,false_negative_cost,false_positive_cost,total_cost,average_cost
1,640,160,0.7953869047619047,0.6334305991830237,0.6511627906976745,0.5833333333333334,0.6153846153846154,0.7247023809523809,0.16219173879470922,0.78125,97,15,20,28,5,1,115,0.71875
2,640,160,0.7847842261904762,0.6362436377708953,0.6571428571428571,0.4791666666666667,0.5542168674698795,0.6860119047619048,0.16422241240097474,0.76875,100,12,25,23,5,1,137,0.85625
3,640,160,0.8151971726190477,0.6081744236145179,0.6764705882352942,0.4791666666666667,0.5609756097560976,0.6904761904761905,0.15728410447102664,0.775,101,11,25,23,5,1,136,0.85
4,640,160,0.7752976190476191,0.5508888849147092,0.5294117647058824,0.375,0.43902439024390244,0.6160714285714286,0.17250928629558712,0.7125,96,16,30,18,5,1,166,1.0375
5,640,160,0.7213541666666667,0.44507967767939843,0.391304347826087,0.1875,0.2535211267605634,0.53125,0.19908048202369022,0.66875,98,14,39,9,5,1,209,1.30625
