outer_fold,candidate,rank_inner_average_precision,mean_inner_average_precision,std_inner_average_precision,mean_inner_roc_auc,std_inner_roc_auc,mean_inner_brier_score,std_inner_brier_score,mean_inner_recall_at_0_50,std_inner_recall_at_0_50,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
1,32,1,0.5741348386329703,0.04006920955338637,0.7638578869047619,0.012886275936111033,0.17309644270629476,0.004138173133789767,0.47395833333333337,0.04000596743681567,700,5,0.08,3,1.0,0.8,0.25,0.1,10.0
1,23,2,0.5733117675720961,0.02126029330158412,0.7621372767857142,0.007536782557101035,0.17275464095508092,0.0010167541293979487,0.39062499999999994,0.03719493973199402,500,3,0.02,1,1.0,0.9,0.5,0.01,10.0
1,28,3,0.5711744823223253,0.026179144286874678,0.7611607142857143,0.018176418612244033,0.17672260400357698,0.007884061876798042,0.4635416666666667,0.06810779599282303,500,5,0.03,1,1.0,0.9,0.0,0.0,5.0
1,33,4,0.5701781343503121,0.014880625136949516,0.750790550595238,0.02569772304670682,0.18675174637891967,0.009358887144578394,0.45312499999999994,0.05387541892077395,500,3,0.1,1,0.8,0.9,0.5,0.0,2.0
1,2,5,0.5662259791193578,0.02614188882373735,0.7541852678571429,0.022517622709107326,0.1761440058672214,0.007176594104001023,0.40625,0.04540519732854869,150,5,0.05,8,1.0,0.8,0.0,0.5,1.0
1,12,6,0.5658888858687413,0.03680509882903479,0.763299851190476,0.002645361356645841,0.17367628245573968,0.0023061425152069667,0.4166666666666667,0.014731391274719747,150,3,0.05,1,0.9,1.0,0.25,0.0,2.0
1,9,7,0.5654474153039635,0.010354982214349282,0.7549758184523809,0.02174763774897072,0.18565447168522897,0.007419465422985549,0.4479166666666667,0.034548174899535426,250,4,0.08,3,0.9,0.7,0.25,0.0,1.0
1,26,8,0.5623529371699361,0.024131943338844858,0.749813988095238,0.022767659580336445,0.1793165062911292,0.007036385539868272,0.4427083333333333,0.04510548978043951,500,3,0.1,8,0.8,0.8,1.0,0.5,2.0
1,25,9,0.5613024181365857,0.02302308794441721,0.7548363095238095,0.011810657405795486,0.1764135076272826,0.0037578797696487874,0.46354166666666663,0.05961209969926872,500,2,0.03,3,0.8,0.9,0.5,0.01,2.0
1,20,10,0.5604814264313511,0.0241783898777811,0.7519066220238095,0.021502032835188364,0.17773943898029368,0.007542270650330145,0.4322916666666667,0.04000596743681567,350,3,0.03,8,0.8,0.9,0.5,0.0,1.0
1,37,11,0.55972015103589,0.028339842908932537,0.7549293154761905,0.01585881036549475,0.17542870777588224,0.004985709405046493,0.421875,0.042632045686835665,350,5,0.02,8,0.7,1.0,1.0,0.5,5.0
1,18,12,0.5591666968650748,0.017307205984921543,0.7499534970238095,0.025383767866033993,0.18285205741837715,0.009259746305846134,0.4791666666666667,0.0465847495312456,350,3,0.08,8,1.0,0.9,0.0,0.0,1.0
1,38,13,0.5584372450625041,0.010606665429642762,0.7497209821428572,0.019322644129012044,0.18169125549928097,0.005494632572235009,0.46875,0.042949016933517284,700,3,0.03,3,0.7,1.0,0.0,0.01,5.0
1,7,14,0.5581964577591204,0.029049709332639066,0.7454427083333333,0.02095112619317217,0.18038413195821873,0.00769016583859963,0.453125,0.034153325647406266,500,2,0.05,8,0.7,0.7,1.0,0.01,2.0
1,27,15,0.557856266669027,0.025616853645517104,0.7551618303571429,0.010465856136593236,0.17685395541012555,0.002859878296049008,0.4583333333333333,0.05311478659992486,500,2,0.03,3,0.8,0.8,0.5,0.0,0.5
1,30,16,0.5577671168637544,0.02460958160533782,0.7548828125,0.013255469232953223,0.1754424469639776,0.0038857682848359204,0.4270833333333333,0.042949016933517284,350,5,0.03,3,0.7,0.8,1.0,0.01,10.0
1,36,17,0.557581214285293,0.016367934073620242,0.7512090773809523,0.01091503211935541,0.17752734981891816,0.0032977923784080184,0.4166666666666667,0.05311478659992486,700,3,0.02,5,1.0,0.9,0.0,0.5,5.0
1,13,18,0.5571880434314093,0.016358719258696773,0.7513950892857142,0.019028526910298597,0.17969358332907043,0.005382555260470802,0.45833333333333337,0.038975597778895234,500,4,0.08,5,0.9,0.7,0.5,0.1,10.0
1,8,19,0.5569447554395855,0.021137421415499385,0.746000744047619,0.026766815784774595,0.1798192766329128,0.0078873112498377,0.45833333333333337,0.04885849749816073,500,3,0.05,8,0.7,0.8,0.5,0.1,5.0
1,40,20,0.5563771078286136,0.027635282421932115,0.7414899553571428,0.03658419017619728,0.1908751575639443,0.014462344231795769,0.4739583333333333,0.059612099699268735,700,3,0.1,8,0.9,0.8,0.0,0.0,2.0
1,35,21,0.5563129407909357,0.031760052174366546,0.7338169642857143,0.037269749270547554,0.19348915330760966,0.013250428233233328,0.4583333333333333,0.038975597778895234,700,4,0.05,5,0.7,1.0,0.5,0.01,2.0
1,3,22,0.556035135358797,0.011705401836817068,0.753720238095238,0.016178759013440912,0.1786579692122489,0.003350621682511879,0.4427083333333333,0.017274087449767692,700,4,0.02,3,0.7,0.8,0.0,0.0,5.0
1,17,23,0.5556729707973056,0.023227451265616667,0.7552548363095237,0.018597644286227514,0.17718303755614434,0.005169780931933285,0.4322916666666667,0.05387541892077395,250,5,0.1,5,1.0,0.8,0.25,0.1,5.0
1,19,24,0.5551371416779474,0.011644618776677017,0.7504650297619048,0.016536500180728008,0.17973269585731194,0.0064268155220400126,0.4427083333333333,0.04510548978043951,500,3,0.03,5,0.9,0.7,0.25,0.1,2.0
1,14,25,0.5551016858929151,0.022008210536331126,0.7573939732142857,0.011425261699442591,0.17483383099082617,0.0009864368267961975,0.36458333333333337,0.05208333333333332,150,4,0.08,3,1.0,0.9,1.0,0.5,2.0
1,31,26,0.554817265504319,0.030114878659327035,0.7479538690476191,0.026840879762982682,0.1798100879355724,0.008777936833099673,0.4583333333333333,0.05311478659992486,350,3,0.08,8,0.7,0.8,0.5,0.0,10.0
1,1,27,0.553607261758722,0.02536384812667796,0.7495349702380952,0.011935602838534141,0.17812644114937703,0.003700957274700915,0.453125,0.05182226234930312,700,2,0.1,1,0.9,0.7,1.0,0.01,10.0
1,39,28,0.5524839554215177,0.01524009305540242,0.7433035714285714,0.015582313964701886,0.18068826422389186,0.003995130005096681,0.4427083333333333,0.017274087449767692,350,2,0.08,5,0.9,1.0,1.0,0.01,1.0
1,10,29,0.552021553606135,0.030301847159399813,0.7520461309523809,0.016183570222426273,0.17615524843720048,0.004927539303581469,0.38020833333333337,0.027063293868263703,250,3,0.03,8,0.8,0.8,0.0,0.1,10.0
1,5,30,0.5519995755290759,0.014324063735221278,0.7471633184523809,0.020763617925261924,0.17874536815631345,0.006408001968128474,0.4010416666666667,0.027063293868263713,700,3,0.02,8,0.9,0.9,0.0,0.1,10.0
1,22,31,0.5513609751750885,0.03551304232812253,0.7532087053571429,0.013319916884390466,0.1758272985555049,0.0040848026764782695,0.375,0.014731391274719726,250,2,0.03,3,0.8,0.9,0.0,0.01,5.0
1,16,32,0.5504297919830755,0.010435554683283908,0.7501395089285714,0.019055725824815885,0.1770155508588796,0.0053578807826027836,0.3802083333333333,0.047450174891376554,150,3,0.05,5,1.0,0.8,0.25,0.0,0.5
