evaluation_population,threshold,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,true_negative,false_positive,false_negative,true_positive,false_negative_cost,false_positive_cost,total_cost,average_cost,model
development out-of-fold predictions,0.5,0.7809821428571428,0.5817821927158534,0.612565445026178,0.4875,0.54292343387471,0.6776785714285715,0.1708740099430572,0.75375,486,74,123,117,5,1,689,0.86125,Untuned XGBoost (Stage 4)
800-row development nested OOF predictions,0.5,0.7735974702380953,0.567362258873288,0.5976331360946746,0.42083333333333334,0.4938875305623472,0.649702380952381,0.1710576047971976,0.74125,492,68,139,101,5,1,763,0.95375,Nested-tuned XGBoost (Stage 5)
