model,bin,mean_predicted_bad_credit_risk_probability,observed_bad_credit_risk_rate
Untuned XGBoost (Stage 4),1,0.015092746526352091,0.05
Untuned XGBoost (Stage 4),2,0.03518120832741259,0.0625
Untuned XGBoost (Stage 4),3,0.06846673232503234,0.0875
Untuned XGBoost (Stage 4),4,0.11399047803133726,0.2125
Untuned XGBoost (Stage 4),5,0.1709725836291909,0.2
Untuned XGBoost (Stage 4),6,0.2519184909760952,0.3125
Untuned XGBoost (Stage 4),7,0.3486281052231789,0.375
Untuned XGBoost (Stage 4),8,0.48648964129388333,0.45
Untuned XGBoost (Stage 4),9,0.6404202744364739,0.5875
Untuned XGBoost (Stage 4),10,0.8186516426503658,0.6625
Nested-tuned XGBoost (Stage 5),1,0.032595439720898865,0.025
Nested-tuned XGBoost (Stage 5),2,0.05929418173618615,0.0625
Nested-tuned XGBoost (Stage 5),3,0.0964507358148694,0.15
Nested-tuned XGBoost (Stage 5),4,0.14518767008557915,0.175
Nested-tuned XGBoost (Stage 5),5,0.20381308682262897,0.2125
Nested-tuned XGBoost (Stage 5),6,0.2762052945792675,0.3125
Nested-tuned XGBoost (Stage 5),7,0.36220814324915407,0.325
Nested-tuned XGBoost (Stage 5),8,0.4661697641015053,0.55
Nested-tuned XGBoost (Stage 5),9,0.5867735274136067,0.575
Nested-tuned XGBoost (Stage 5),10,0.7416962064802647,0.6125
