outer_fold,candidate,rank_inner_average_precision,mean_inner_average_precision,std_inner_average_precision,mean_inner_roc_auc,std_inner_roc_auc,mean_inner_brier_score,std_inner_brier_score,mean_inner_recall_at_0_50,std_inner_recall_at_0_50,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
full_development,30,1,0.6011345302188377,0.09157738816261658,0.7864583333333334,0.03574759731194665,0.1670718601315854,0.017504159751065288,0.4,0.1159202311936963,350,5,0.03,3,0.7,0.8,1.0,0.01,10.0
full_development,27,2,0.5998692679125914,0.07707994527169446,0.787313988095238,0.03404751661083909,0.16673407545788288,0.013999111777299275,0.4791666666666667,0.10704360482220941,500,2,0.03,3,0.8,0.8,0.5,0.0,0.5
full_development,12,3,0.598217399527279,0.08162070599788647,0.7873511904761903,0.033752914716774225,0.1671060466434274,0.015019648646587523,0.425,0.08897565210026094,150,3,0.05,1,0.9,1.0,0.25,0.0,2.0
full_development,14,4,0.5964184605667959,0.08644448180234297,0.7858258928571429,0.03261836364474508,0.1671347216246335,0.014111315894585866,0.4041666666666667,0.10341394704992381,150,4,0.08,3,1.0,0.9,1.0,0.5,2.0
full_development,36,5,0.5950862058965194,0.08123653790685029,0.7845982142857143,0.03542030074642792,0.16742227439315877,0.015911030940710676,0.4333333333333333,0.10976616560266242,700,3,0.02,5,1.0,0.9,0.0,0.5,5.0
full_development,25,6,0.5946354666564599,0.083910945770865,0.7862723214285714,0.03725535662692517,0.16720263334319846,0.015175293542726292,0.4583333333333333,0.11334558757279536,500,2,0.03,3,0.8,0.9,0.5,0.01,2.0
full_development,16,7,0.5940642174231652,0.0826338159509205,0.786421130952381,0.03535995797575344,0.16630892729797062,0.014491875113053285,0.425,0.087994633674762,150,3,0.05,5,1.0,0.8,0.25,0.0,0.5
full_development,20,8,0.5938459688140455,0.08440721178067474,0.7829613095238095,0.036584413614963625,0.1683275196034635,0.016425782179160905,0.45833333333333337,0.11102427162061855,350,3,0.03,8,0.8,0.9,0.5,0.0,1.0
full_development,32,9,0.5936848136264099,0.08292556330501309,0.7800595238095238,0.03224753368584088,0.17071885072484375,0.017245717489054197,0.45,0.109924216318941,700,5,0.08,3,1.0,0.8,0.25,0.1,10.0
full_development,23,10,0.5936644978913782,0.08722155787164108,0.7829613095238096,0.04108992450378853,0.16798238759475054,0.017321529606817293,0.4208333333333333,0.10976616560266243,500,3,0.02,1,1.0,0.9,0.5,0.01,10.0
full_development,11,11,0.59306131044989,0.06216740703158719,0.7808407738095238,0.02986922614249447,0.17164447738748007,0.013782670257221467,0.4666666666666666,0.09556120784316428,150,3,0.1,3,0.9,1.0,0.5,0.0,0.5
full_development,1,12,0.5916267940727105,0.08621768989930077,0.7832775297619048,0.03955220255881336,0.16934122708571617,0.016944441635905597,0.4666666666666667,0.10752906583803283,700,2,0.1,1,0.9,0.7,1.0,0.01,10.0
full_development,4,13,0.5910867219275974,0.0958810711756421,0.7859375,0.036852596700561874,0.16769956947573111,0.01565485311660904,0.4416666666666667,0.12032940898494711,350,2,0.05,5,0.9,0.9,1.0,0.5,10.0
full_development,9,14,0.5903683051218959,0.06256433910667283,0.7723958333333334,0.031645124615316884,0.17698136224436106,0.015229293090461966,0.4750000000000001,0.11441275181454985,250,4,0.08,3,0.9,0.7,0.25,0.0,1.0
full_development,3,15,0.5900149669059237,0.08031258751196778,0.7805059523809523,0.03303081225696079,0.17075470650732022,0.017015631411399158,0.4666666666666667,0.11606990230986766,700,4,0.02,3,0.7,0.8,0.0,0.0,5.0
full_development,2,16,0.5892527941509057,0.07977145556927553,0.7824404761904762,0.03257335614433906,0.16802938761456473,0.01465133532638089,0.45,0.10913167378090664,150,5,0.05,8,1.0,0.8,0.0,0.5,1.0
full_development,10,17,0.5891746663397691,0.08827875524094736,0.7852306547619048,0.03186478941992365,0.16717846921137258,0.014143187656551143,0.4125,0.10491398593345143,250,3,0.03,8,0.8,0.8,0.0,0.1,10.0
full_development,7,18,0.5886451626455684,0.07992688598496446,0.7796502976190476,0.03916097988685542,0.1713167648604286,0.017711077908096128,0.4541666666666667,0.11211353372561426,500,2,0.05,8,0.7,0.7,1.0,0.01,2.0
full_development,31,19,0.5874010842986974,0.07761854547590556,0.779203869047619,0.03781215301043918,0.17187401544070754,0.018074957362789017,0.4666666666666666,0.11226827987756233,350,3,0.08,8,0.7,0.8,0.5,0.0,10.0
