model,evaluation_population,threshold,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,true_negative,false_positive,false_negative,true_positive,false_negative_cost,false_positive_cost,total_cost,average_cost
Dummy prior,development out-of-fold predictions,0.5,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,560,0,240,0,5,1,1200,1.5
Logistic Regression,development out-of-fold predictions,0.5,0.7701116071428572,0.5806035498332981,0.5760869565217391,0.44166666666666665,0.5,0.6511904761904762,0.1730005802190112,0.735,482,78,134,106,5,1,748,0.935
