outer_fold,selected_calibration_method,threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost,selected_threshold
2,isotonic,0.24,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.45614035087719296,0.8125,0.5842696629213483,0.6986607142857143,0.5848214285714286,0.653125,262,186,36,156,366,0.571875,False
2,isotonic,0.25,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.4622356495468278,0.796875,0.5850860420650096,0.6997767857142857,0.6026785714285714,0.6609375,270,178,39,153,373,0.5828125,False
2,isotonic,0.26,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.47468354430379744,0.78125,0.5905511811023622,0.7053571428571428,0.6294642857142857,0.675,282,166,42,150,376,0.5875,False
2,isotonic,0.27,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.474025974025974,0.7604166666666666,0.584,0.6994047619047619,0.6383928571428571,0.675,286,162,46,146,392,0.6125,False
2,isotonic,0.28,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.4931972789115646,0.7552083333333334,0.5967078189300411,0.7113095238095238,0.6674107142857143,0.69375,299,149,47,145,384,0.6,False
2,isotonic,0.29,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5052264808362369,0.7552083333333334,0.605427974947808,0.7191220238095238,0.6830357142857143,0.7046875,306,142,47,145,377,0.5890625,False
2,isotonic,0.3,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5126353790613718,0.7395833333333334,0.605543710021322,0.7191220238095238,0.6986607142857143,0.7109375,313,135,50,142,385,0.6015625,False
2,isotonic,0.31,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5204460966542751,0.7291666666666666,0.6073752711496746,0.7206101190476191,0.7120535714285714,0.7171875,319,129,52,140,389,0.6078125,False
2,isotonic,0.32,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.5305343511450382,0.7239583333333334,0.6123348017621145,0.7247023809523809,0.7254464285714286,0.725,325,123,53,139,388,0.60625,False
2,isotonic,0.33,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612,0.53515625,0.7135416666666666,0.6116071428571429,0.7239583333333333,0.734375,0.728125,329,119,55,137,394,0.615625,False
