calibration_method,brier_score,log_loss,roc_auc,average_precision
none,0.1708740099430572,0.5187190898225014,0.7809821428571428,0.5817821927158534
sigmoid,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343
isotonic,0.1693374222912917,0.5099640461546928,0.7780357142857143,0.5619154955199088
