threshold_label,threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost
Default 0.50,0.5,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.6527777777777778,0.39166666666666666,0.4895833333333333,0.6511904761904762,0.9107142857142857,0.755,510,50,146,94,780,0.975
Theoretical 1/6 reference,0.16666666666666666,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.41509433962264153,0.9166666666666666,0.5714285714285714,0.6815476190476191,0.44642857142857145,0.5875,250,310,20,220,410,0.5125
Empirically selected,0.16,0.16738478432680862,0.5075358112396765,0.7844270833333333,0.5880894845032343,0.4117647058823529,0.9333333333333333,0.5714285714285714,0.680952380952381,0.42857142857142855,0.58,240,320,16,224,400,0.5
