outer_fold,threshold,brier_score,log_loss,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,specificity,accuracy,true_negative,false_positive,false_negative,true_positive,total_cost,average_cost
1,0.2,0.1584419637030631,0.482208883859648,0.8032924107142857,0.648050914022868,0.41904761904761906,0.9166666666666666,0.5751633986928104,0.6860119047619048,0.45535714285714285,0.59375,51,61,4,44,81,0.50625
2,0.18,0.15883914754404233,0.4769761664972793,0.7983630952380952,0.6570126354228266,0.4329896907216495,0.875,0.5793103448275863,0.6919642857142857,0.5089285714285714,0.61875,57,55,6,42,85,0.53125
3,0.15,0.16101940634599754,0.48808124104221073,0.8100818452380952,0.6149065835574818,0.4036697247706422,0.9166666666666666,0.5605095541401274,0.6681547619047619,0.41964285714285715,0.56875,47,65,4,44,85,0.53125
4,0.16,0.17103198596022298,0.517134678012244,0.7734375,0.561830519740549,0.3893805309734513,0.9166666666666666,0.546583850931677,0.6502976190476191,0.38392857142857145,0.54375,43,69,4,44,89,0.55625
5,0.2,0.19233614374953603,0.5747431400966494,0.7185639880952381,0.46069340335966,0.449438202247191,0.8333333333333334,0.583941605839416,0.6979166666666667,0.5625,0.64375,63,49,8,40,89,0.55625
