outer_fold,calibration_method,brier_score,log_loss,roc_auc,average_precision
1,none,0.1770800943382635,0.5461891194974793,0.7592657180059523,0.5559160058302842
1,sigmoid,0.176135008179849,0.5302195865889403,0.7516392299107142,0.5513576436783003
1,isotonic,0.17380137865516168,0.5749024353377445,0.7493373325892858,0.5760080085710065
2,none,0.1739929549954506,0.5327850626451804,0.7700660342261905,0.5695786350062129
2,sigmoid,0.16819489926250752,0.5105471325899936,0.7814708891369047,0.5932754379032795
2,isotonic,0.16724842607872756,0.5092566627201399,0.7769077845982143,0.5865062431049612
3,none,0.17707373492695097,0.5341646885875098,0.7686360677083333,0.5778175229201793
3,sigmoid,0.1753340744060221,0.5272729674043325,0.7596726190476191,0.5646473820651676
3,isotonic,0.1731820071396591,0.5670163339762777,0.7654389880952381,0.5663416763029124
4,none,0.17914548701079705,0.5429933299815607,0.7656598772321429,0.5940015103406612
4,sigmoid,0.1702280820755632,0.5149306239872253,0.7692522321428572,0.6022751489038127
4,isotonic,0.17069271737787117,0.5662825409027421,0.7669154575892857,0.5932236051839103
5,none,0.16448749254280298,0.5072451800413026,0.7931896391369048,0.6271145063928998
5,sigmoid,0.15986755964090887,0.4911308384897269,0.7992117745535714,0.6267695180552675
5,isotonic,0.15794887855632395,0.48033335838710106,0.8022577194940477,0.6409704372605436
