policy,evaluation_population,threshold,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,true_negative,false_positive,false_negative,true_positive,false_negative_cost,false_positive_cost,total_cost,average_cost,log_loss,specificity
"Stage 4 XGBoost, threshold 0.50",development out-of-fold predictions,0.5,0.7809821428571428,0.5817821927158534,0.612565445026178,0.4875,0.54292343387471,0.6776785714285715,0.1708740099430572,0.75375,486,74,123,117,5.0,1.0,689,0.86125,,
Nested calibration-and-threshold selection (Stage 6),800-row development outer-fold OOF,,0.7787462797619047,0.5731765621225701,0.4171539961013645,0.8916666666666667,0.5683930942895087,0.6788690476190476,0.16833372946057237,0.59375,261,299,26,214,,,429,0.53625,0.5078288219016063,0.4660714285714286
