model,threshold,true_negative,false_positive,false_negative,true_positive,false_negative_cost,false_positive_cost,total_cost,average_cost
Dummy prior,0.5,560,0,240,0,5,1,1200,1.5
Logistic Regression,0.5,481,79,133,107,5,1,744,0.93
