model,evaluation_population,threshold,roc_auc,average_precision,precision_bad_credit_risk,recall_bad_credit_risk,f1_bad_credit_risk,balanced_accuracy,brier_score,accuracy,true_negative,false_positive,false_negative,true_positive,false_negative_cost,false_positive_cost,total_cost,average_cost
Dummy prior,development out-of-fold predictions,0.5,0.5,0.3,0.0,0.0,0.0,0.5,0.20999999999999996,0.7,560,0,240,0,5,1,1200,1.5
Logistic Regression,development out-of-fold predictions,0.5,0.7629538690476191,0.5710270816616344,0.5752688172043011,0.44583333333333336,0.5023474178403756,0.6523809523809524,0.17621734856446597,0.735,481,79,133,107,5,1,744,0.93
